time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XTZ,open XTZ
7/2/2020 9:00,-0.008382066,101,-0.846588666,117061.78,2.3654
7/2/2020 12:00,-0.039292365,256,-10.05884544,200393.29,2.3761
7/2/2020 15:00,0.013527534,275,3.72007185,468723.49,2.329533333
7/2/2020 18:00,-0.084082397,256,-21.52509363,152056.08,2.322166667
7/2/2020 21:00,-0.085687628,1079,-92.45695061,153630.41,2.331933333
7/3/2020 0:00,-0.089419476,158,-14.12827721,345553.15,2.3256
7/3/2020 3:00,-0.015740741,98,-1.542592618,156024.36,2.302533333
7/3/2020 6:00,0.045808967,80,3.66471736,130587.61,2.323
7/3/2020 9:00,-0.068137255,138,-9.40294119,142131.56,2.314933333
7/3/2020 12:00,0.011299435,186,2.10169491,735333.49,2.3007
7/3/2020 15:00,-0.097928437,163,-15.96233523,481379.93,2.2973
7/3/2020 18:00,-0.070092593,218,-15.28018527,260511.21,2.291866667
7/3/2020 21:00,-0.095390628,467,-44.54742328,480636.04,2.287066667
7/4/2020 0:00,-0.047758285,104,-4.96686164,452786.55,2.273833333
7/4/2020 3:00,-0.017045455,174,-2.96590917,199654.46,2.301166667
7/4/2020 6:00,-0.080508475,145,-11.67372888,210653.43,2.326533333
7/4/2020 9:00,-0.01754386,66,-1.15789476,45094.01,2.3045
7/4/2020 12:00,-0.018347601,174,-3.192482574,100994.35,2.314266667
7/4/2020 15:00,-0.034814815,229,-7.972592635,212344.17,2.324466667
7/4/2020 18:00,-0.082843137,237,-19.63382347,114808.56,2.335833333
7/4/2020 21:00,-0.006125727,593,-3.632556111,85214.31,2.323
7/5/2020 0:00,-0.028901734,175,-5.05780345,199948.25,2.325933333
7/5/2020 3:00,0.014534884,127,1.845930268,138024.05,2.300966667
7/5/2020 6:00,-0.060215054,70,-4.21505378,109383.98,2.282366667
7/5/2020 9:00,-0.007843137,51,-0.399999987,172572.42,2.277233333
7/5/2020 12:00,-0.006308851,134,-0.845386034,228963.48,2.267733333
7/5/2020 15:00,-0.070224719,191,-13.41292133,286506.65,2.254933333
7/5/2020 18:00,-0.061625874,204,-12.5716783,153031.31,2.2587
7/5/2020 21:00,0.015579524,691,10.76545108,299796.33,2.269233333
7/6/2020 0:00,0.005649718,158,0.892655444,111486.97,2.283733333
7/6/2020 3:00,-0.082386364,116,-9.556818224,152167.19,2.292933333
7/6/2020 6:00,0.023373984,60,1.40243904,561516.53,2.345866667
7/6/2020 9:00,0.004310345,105,0.452586225,93124.53,2.333333333
7/6/2020 12:00,-0.006145251,192,-1.179888192,395924.49,2.371366667
7/6/2020 15:00,0.043195346,242,10.45327373,360149.12,2.385633333
7/6/2020 18:00,-0.072632275,276,-20.0465079,549974.4,2.3691
7/6/2020 21:00,0.023642776,340,8.03854384,374511.94,2.435133333
7/7/2020 0:00,-0.072727273,187,-13.60000005,759758.75,2.435166667
7/7/2020 3:00,-0.074906367,112,-8.389513104,540469.09,2.434533333
7/7/2020 6:00,-0.034482759,85,-2.931034515,151130.14,2.449233333
7/7/2020 9:00,-0.043582375,89,-3.878831375,196264.8,2.472533333
7/7/2020 12:00,-0.050093633,286,-14.32677904,528234.05,2.4937
7/7/2020 15:00,0.056304868,317,17.84864316,802870.8,2.5489
7/7/2020 18:00,0.008465608,306,2.590476048,821181.48,2.558266667
7/7/2020 21:00,-0.105334983,329,-34.65520941,204613.27,2.4992
7/8/2020 0:00,0.048371648,219,10.59339091,828563.84,2.5263
7/8/2020 3:00,0.011176471,116,1.296470636,566411.74,2.593
7/8/2020 6:00,0.026748971,83,2.220164593,466838.5,2.595433333
7/8/2020 9:00,-0.048022599,76,-3.649717524,333941.13,2.657733333
7/8/2020 12:00,0.097951583,198,19.39441343,501364.51,2.6468
7/8/2020 15:00,0.003703704,333,1.233333432,294580.95,2.630133333
7/8/2020 18:00,-0.105429293,354,-37.32196972,705248.71,2.6352
7/8/2020 21:00,0.017405035,575,10.00789513,313119.06,2.652166667
7/9/2020 0:00,0.002408478,199,0.479287122,546895.3,2.5993
7/9/2020 3:00,-0.011299435,133,-1.502824855,234972.25,2.545033333
7/9/2020 6:00,0.023255814,94,2.186046516,246570.61,2.604733333
7/9/2020 9:00,0.020231214,81,1.638728334,161574.86,2.588533333
7/9/2020 12:00,-0.097765363,198,-19.35754187,640580.54,2.6156
7/9/2020 15:00,-0.001029963,292,-0.300749196,961704.37,2.512133333
7/9/2020 18:00,0.04212963,219,9.22638897,347846.49,2.500833333
7/9/2020 21:00,0.007698649,522,4.018694778,329604.24,2.5142
7/10/2020 0:00,0.031179775,179,5.581179725,186838.92,2.500633333
7/10/2020 3:00,0.009578544,126,1.206896544,279278.59,2.4698
7/10/2020 6:00,-0.028985507,67,-1.942028969,113140.2,2.4357
7/10/2020 9:00,-0.038825758,82,-3.183712156,76353.18,2.458066667
7/10/2020 12:00,-0.008539095,292,-2.49341574,140287.33,2.442633333
7/10/2020 15:00,-0.026666667,244,-6.506666748,216942.44,2.489133333
7/10/2020 18:00,0.042613636,282,12.01704535,299619.93,2.524866667
7/10/2020 21:00,-0.013798003,652,-8.996297956,280054.58,2.540633333
7/11/2020 0:00,0.042140152,200,8.4280304,290887.54,2.5628
7/11/2020 3:00,-0.016007533,134,-2.145009422,147598.54,2.5803
7/11/2020 6:00,0.072504708,75,5.4378531,126551.74,2.592533333
7/11/2020 9:00,-0.034979424,52,-1.818930048,150720.34,2.543766667
7/11/2020 12:00,0.018333333,149,2.731666617,461020.13,2.5809
7/11/2020 15:00,-0.043809524,209,-9.156190516,1027744.99,2.6523
7/11/2020 18:00,-0.025913712,181,-4.690381872,551540.51,2.687866667
7/11/2020 21:00,0.019816215,264,5.23148076,304173.65,2.674
7/12/2020 0:00,-0.040677966,142,-5.776271172,500640.08,2.7114
7/12/2020 3:00,-0.067049808,67,-4.492337136,177794.97,2.689033333
7/12/2020 6:00,0.052380952,54,2.828571408,175380.62,2.677666667
7/12/2020 9:00,-0.010597303,77,-0.815992331,225564.29,2.677666667
7/12/2020 12:00,-0.004681648,119,-0.557116112,577561.41,2.658
7/12/2020 15:00,0.052808989,202,10.66741578,355063.77,2.623833333
7/12/2020 18:00,-6.76E-05,155,-0.010478,339058.54,2.6291
7/12/2020 21:00,0.042527933,180,7.65502794,1713844.91,2.726433333
7/13/2020 0:00,-0.021306818,118,-2.514204524,3089691.36,2.877366667
7/13/2020 3:00,0.010912698,94,1.025793612,1455232.74,2.891066667
7/13/2020 6:00,0.061002179,61,3.721132919,1273542.57,3.009466667
7/13/2020 9:00,-0.018560606,116,-2.153030296,1507201.34,3.087766667
7/13/2020 12:00,-0.042749529,212,-9.062900148,1360766.27,3.0776
7/13/2020 15:00,-0.085,297,-25.245,875085.13,2.9774
7/13/2020 18:00,-0.026070763,236,-6.152700068,1990490.7,2.9336
7/13/2020 21:00,0.008499646,243,2.065413978,751140.73,2.892833333
7/14/2020 0:00,-0.020018622,190,-3.80353818,668117.56,2.843866667
7/14/2020 3:00,-0.041666667,138,-5.750000046,1076110.85,2.7846
7/14/2020 6:00,-0.080638723,65,-5.241516995,332427.61,2.786866667
7/14/2020 9:00,-0.077651515,114,-8.85227271,659723.07,2.7976
7/14/2020 12:00,0.013361266,277,3.701070682,1017169.85,2.8814
7/14/2020 15:00,0.020969324,373,7.821557852,1397240.36,2.942133333
7/14/2020 18:00,-0.018894653,522,-9.863008866,922182.49,3.0132
7/14/2020 21:00,0.102090105,729,74.42368655,608972.73,2.980066667
7/15/2020 0:00,0.03003876,241,7.23934116,567216.86,2.9259
7/15/2020 3:00,0.009578544,162,1.551724128,2215759.28,2.931533333
7/15/2020 6:00,-0.049309665,119,-5.867850135,333193.91,2.955633333
