time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume ETH,open ETH
1/21/2019 21:00,-0.148444525,3774,-560.2296374,17709.75841,115.6833333
1/22/2019 0:00,-0.185440802,3331,-617.7033115,16709.70545,116.35
1/22/2019 3:00,-0.214743742,2989,-641.8690448,7196.470516,116.4833333
1/22/2019 6:00,-0.171983619,3282,-564.4502376,4685.505444,115.88
1/22/2019 9:00,-0.140099841,3963,-555.2156699,27945.86724,115.8533333
1/22/2019 12:00,-0.164810442,5105,-841.3573064,31935.93369,115.9833333
1/22/2019 15:00,-0.153203022,5033,-771.0708097,9157.826787,118.0766667
1/22/2019 18:00,-0.071764636,4585,-329.0408561,17853.9734,118.4
1/22/2019 21:00,-0.157546999,3824,-602.4597242,9465.625168,118.0833333
1/23/2019 0:00,-0.13611185,3040,-413.780024,5656.390389,118.2433333
1/23/2019 3:00,-0.183636641,2706,-496.9207505,4745.847823,118.52
1/23/2019 6:00,-0.170438205,3405,-580.342088,5993.738674,118.1
1/23/2019 9:00,-0.20858965,3937,-821.217452,3504.280748,117.53
1/23/2019 12:00,-0.167368505,4766,-797.6782948,10894.99078,118.0233333
1/23/2019 15:00,-0.152299325,5422,-825.7669402,9663.162262,117.0466667
1/23/2019 18:00,-0.144044943,5131,-739.0946025,14652.67131,116.7866667
1/23/2019 21:00,-0.115631752,4454,-515.0238234,5949.239913,116.1233333
1/24/2019 0:00,0.011363636,32,0.363636352,6955.579373,116.35
1/24/2019 3:00,0,9,0,5880.146984,115.37
1/24/2019 6:00,-0.039590655,627,-24.82334069,3069.105131,115.44
1/24/2019 9:00,-0.156149051,3817,-596.0209277,11691.48622,115.2
1/24/2019 12:00,-0.145576545,4809,-700.0776049,4883.696962,116.0466667
1/24/2019 15:00,-0.109895697,4993,-548.7092151,4613.984504,115.8366667
1/24/2019 18:00,-0.151924515,4715,-716.3240882,14476.5961,115.8533333
1/24/2019 21:00,-0.124097868,4114,-510.538629,7797.061805,116.4066667
1/25/2019 0:00,-0.086026225,3207,-275.8861036,5053.162141,116.42
1/25/2019 3:00,-0.187850292,2784,-522.9752129,5860.33362,116.3833333
1/25/2019 6:00,-0.128104026,3340,-427.8674468,8475.627208,115.99
1/25/2019 9:00,-0.141624119,3924,-555.733043,16853.01752,115.1966667
1/25/2019 12:00,-0.19913775,4304,-857.088876,16718.71873,115.34
1/25/2019 15:00,-0.103720091,4754,-493.0853126,8518.562372,115.3533333
1/25/2019 18:00,-0.189467292,4487,-850.1397392,10513.47065,114.9033333
1/25/2019 21:00,-0.168223379,3628,-610.314419,5828.298669,115.04
