time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume EOS,open EOS
4/22/2019 15:00,-0.115743748,5600,-648.1649888,23950,5.227666667
4/22/2019 18:00,-0.102332993,4998,-511.460299,4483.8,5.272666667
4/22/2019 21:00,-0.139648697,4133,-577.1680647,1812.9,5.275
4/23/2019 0:00,-0.129669559,3849,-499.0981326,1281.2,5.244333333
4/23/2019 3:00,-0.092129087,4088,-376.6237077,15861.6,5.283333333
4/23/2019 6:00,-0.12007376,4413,-529.8855029,4000.2,5.342333333
4/23/2019 9:00,-0.112348688,4881,-548.3739461,4167.8,5.343
4/23/2019 12:00,-0.129392706,6782,-877.5413321,4386.4,5.328
4/23/2019 15:00,-0.162559742,6474,-1052.41177,6751.2,5.291
4/23/2019 18:00,-0.11932668,5598,-667.9907546,24106.2,5.278666667
4/23/2019 21:00,-0.152328047,4540,-691.5693334,21800.7,5.228666667
4/24/2019 0:00,-0.148723247,4067,-604.8574455,17173.2,5.138
4/24/2019 3:00,-0.102295642,3631,-371.4354761,4340.3,5.137
4/24/2019 6:00,-0.13783848,4903,-675.8220674,23857.7,5.042666667
4/24/2019 9:00,-0.16455031,5258,-865.20553,20537.6,4.847333333
4/24/2019 12:00,-0.149290515,5718,-853.6431648,8828,4.827
4/24/2019 15:00,-0.130762408,6076,-794.512391,28557.4,4.750666667
4/24/2019 18:00,-0.109942029,5429,-596.8752754,30331.9,4.675
4/24/2019 21:00,-0.184789605,4256,-786.4645589,15809.8,4.768666667
4/25/2019 0:00,-0.099340559,3852,-382.6598333,10011.7,4.833
4/25/2019 3:00,-0.14063849,3414,-480.1398049,2089.4,4.77
4/25/2019 6:00,-0.15464081,3936,-608.6662282,7755.4,4.731333333
4/25/2019 9:00,-0.091776536,4566,-419.0516634,5379.3,4.746666667
4/25/2019 12:00,-0.146037885,5766,-842.0544449,6725.8,4.793666667
4/25/2019 15:00,-0.126133419,5656,-713.4106179,10601.9,4.782
4/25/2019 18:00,-0.14402351,4871,-701.5385172,4346.8,4.794
4/25/2019 21:00,-0.191890308,5930,-1137.909526,90883.3,4.697666667
4/26/2019 0:00,-0.175273574,4218,-739.3039351,86196.6,4.527333333
4/26/2019 3:00,-0.213262401,3441,-733.8359218,47914.9,4.602666667
4/26/2019 6:00,-0.202244891,4161,-841.5409915,6192.2,4.572666667
4/26/2019 9:00,-0.246941569,4421,-1091.728677,5298.2,4.565
4/26/2019 12:00,-0.211287963,5145,-1087.07657,11095.3,4.573
4/26/2019 15:00,-0.190335532,5267,-1002.497247,20293.5,4.577333333
4/26/2019 18:00,-0.181792497,4524,-822.4292564,11226.9,4.584
4/26/2019 21:00,-0.203841592,3792,-772.9673169,8474.1,4.609
4/27/2019 0:00,-0.101679658,2876,-292.4306964,14813.9,4.651333333
4/27/2019 3:00,-0.150846175,2727,-411.3575192,4566.5,4.632333333
4/27/2019 6:00,-0.150627785,3131,-471.6155948,767.6,4.642
4/27/2019 9:00,-0.118117112,3122,-368.7616237,5902.9,4.628
4/27/2019 12:00,-0.131380575,3838,-504.2386469,7941.6,4.616666667
4/27/2019 15:00,-0.128947101,4302,-554.7304285,2986.5,4.636333333
4/27/2019 18:00,-0.180013176,3653,-657.5881319,5742.7,4.668666667
4/27/2019 21:00,-0.163837968,3291,-539.1907527,4313.8,4.643666667
4/28/2019 0:00,-0.180369848,2809,-506.658903,1905.9,4.625
4/28/2019 3:00,-0.137046123,2485,-340.5596157,1127.2,4.624666667
4/28/2019 6:00,-0.1334019,2957,-394.4694183,2345.7,4.635
4/28/2019 9:00,-0.204816507,3233,-662.1717671,4391.9,4.638333333
4/28/2019 12:00,-0.148298487,3738,-554.3397444,8860.1,4.62
4/28/2019 15:00,-0.16983131,4032,-684.7598419,8812.4,4.614666667
4/28/2019 18:00,-0.136259534,3726,-507.7030237,4146.3,4.608666667
4/28/2019 21:00,-0.149982792,3337,-500.4925769,4567.3,4.591333333
4/29/2019 0:00,-0.122584912,2919,-357.8253581,3312.9,4.607
4/29/2019 3:00,-0.193287435,2970,-574.063682,3003.5,4.62
4/29/2019 6:00,-0.116617278,3486,-406.5278311,8454.9,4.603
4/29/2019 9:00,-0.091145678,4063,-370.3248897,3880,4.56
4/29/2019 12:00,-0.138272152,5025,-694.8175638,17370.9,4.46
4/29/2019 15:00,-0.15489383,5344,-827.7526275,10025.1,4.424
4/29/2019 18:00,-0.159303216,4983,-793.8079253,2118.8,4.447666667
4/29/2019 21:00,-0.194702792,3909,-761.0932139,5458.9,4.418666667
4/30/2019 0:00,-0.146933779,3699,-543.5080485,9245.4,4.486
4/30/2019 3:00,-0.138871153,2849,-395.6439149,1395.8,4.507333333
4/30/2019 6:00,-0.182806587,3938,-719.8923396,6118.1,4.499333333
4/30/2019 9:00,-0.133130289,4685,-623.715404,10688.7,4.535
4/30/2019 12:00,-0.147337362,5721,-842.917048,42587.3,4.623
4/30/2019 15:00,-0.097484327,5548,-540.8430462,19054.8,4.636
4/30/2019 18:00,-0.12423109,5296,-657.9278526,2114,4.637333333
4/30/2019 21:00,-0.112102864,4175,-468.0294572,14403.3,4.697333333
5/1/2019 0:00,-0.149768023,3569,-534.5220741,17691.5,4.757333333
5/1/2019 3:00,-0.14593822,2929,-427.4530464,9014.5,4.746333333
5/1/2019 6:00,-0.157617161,3562,-561.4323275,12478.7,4.730666667
5/1/2019 9:00,-0.180736191,4041,-730.3549478,1625.3,4.678
5/1/2019 12:00,-0.09452986,5124,-484.3710026,11264.4,4.658
5/1/2019 15:00,-0.100439806,5399,-542.2745126,2734.9,4.682
5/1/2019 18:00,-0.097786059,5022,-491.0815883,5886.2,4.712333333
5/1/2019 21:00,-0.149393136,4220,-630.4390339,9234.9,4.678666667
5/2/2019 0:00,-0.13780878,3114,-429.1365409,6344.8,4.683666667
5/2/2019 3:00,-0.149254153,3187,-475.6729856,1514.1,4.678
5/2/2019 6:00,-0.166163851,3800,-631.4226338,2720.8,4.691
5/2/2019 9:00,-0.137340413,4235,-581.6366491,442.6,4.686333333
5/2/2019 12:00,-0.11153062,5500,-613.41841,13198.8,4.657333333
5/2/2019 15:00,-0.140876051,5666,-798.203705,8742.1,4.636666667
5/2/2019 18:00,-0.115772637,4832,-559.413382,4517.6,4.649333333
5/2/2019 21:00,-0.10690472,4138,-442.3717314,21368.5,4.698333333
5/3/2019 0:00,-0.1006764,3656,-368.0729184,15216.4,4.705333333
5/3/2019 3:00,-0.063616968,3192,-203.0653619,4590.6,4.741666667
5/3/2019 6:00,-0.049444105,4590,-226.948442,16455.9,4.773
5/3/2019 9:00,-0.12131364,5754,-698.0386846,48059.5,4.943
5/3/2019 12:00,-0.105225068,6536,-687.7510444,38476,5.016
5/3/2019 15:00,-0.119900811,6236,-747.7014574,12857.4,4.966
5/3/2019 18:00,-0.140272123,5210,-730.8177608,8471,4.981333333
5/3/2019 21:00,-0.143812557,4259,-612.4976803,2620.7,5.002
5/4/2019 0:00,-0.102235218,3828,-391.3564145,20242.8,5.056
5/4/2019 3:00,-0.089581578,3097,-277.4341471,46129.6,4.964333333
5/4/2019 6:00,-0.076486829,3396,-259.7492713,2485.3,4.876666667
5/4/2019 9:00,-0.10359744,3793,-392.9450899,12546.3,4.861333333
5/4/2019 12:00,-0.090326584,4636,-418.7540434,21636.8,4.823
5/4/2019 15:00,-0.073550589,4632,-340.6863282,6388.8,4.784333333
5/4/2019 18:00,-0.102954713,3971,-408.8331653,5457.8,4.803
