time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume LINK,open LINK
9/8/2020 18:00,-0.127642411,8029,-1024.840918,496171.53,11.69670333
9/8/2020 21:00,-0.131067093,6720,-880.770865,711522.83,11.61726333
9/9/2020 0:00,-0.122866479,5214,-640.6258215,391447.45,11.80727667
9/9/2020 3:00,-0.095254063,4507,-429.3100619,329261.48,11.59385333
9/9/2020 6:00,-0.109247247,5852,-639.3148894,263095.91,11.89267333
9/9/2020 9:00,-0.196043512,6272,-1229.584907,272008.5,12.16534333
9/9/2020 12:00,-0.133287892,8057,-1073.900546,345084.88,12.26635
9/9/2020 15:00,-0.156747489,7934,-1243.634578,423865.39,12.44681333
9/9/2020 18:00,-0.091685179,8189,-750.8099308,384312.45,12.54244667
9/9/2020 21:00,-0.088635884,6842,-606.4467183,259309.66,12.4318
9/10/2020 0:00,-0.094521944,6624,-626.1133571,834124.81,12.50451
9/10/2020 3:00,-0.098552416,5361,-528.3395022,621129.74,12.99109667
9/10/2020 6:00,-0.111418253,6349,-707.3944883,369696.61,12.78579333
9/10/2020 9:00,-0.141931512,6140,-871.4594837,136288.98,12.61916
9/10/2020 12:00,-0.083955845,8542,-717.150828,584701.46,12.97503667
9/10/2020 15:00,-0.121612334,8465,-1029.448407,327031.15,12.79219
9/10/2020 18:00,-0.151049852,7529,-1137.254336,629819.12,12.52276
9/10/2020 21:00,-0.146190105,6087,-889.8591691,317578.65,12.54133333
9/11/2020 0:00,-0.116781716,5336,-623.1472366,356375.5,12.42611333
9/11/2020 3:00,-0.107266166,4951,-531.0747879,308212.09,12.18306
9/11/2020 6:00,-0.106286477,6183,-657.1692873,199199.77,12.31293667
9/11/2020 9:00,-0.102930207,6197,-637.8584928,145074.35,12.34292333
9/11/2020 12:00,-0.082531475,7552,-623.2776992,415251.12,12.35094667
9/11/2020 15:00,-0.140800097,7855,-1105.984762,368497.13,12.56923
9/11/2020 18:00,-0.135233711,6846,-925.8099855,246942.98,12.43232667
9/11/2020 21:00,-0.153048919,6121,-936.8124332,211739.64,12.42573333
9/12/2020 0:00,-0.17742483,5142,-912.3184759,271246.69,12.30667333
9/12/2020 3:00,-0.160743296,4442,-714.0217208,147796.88,12.26763
9/12/2020 6:00,-0.174227223,4898,-853.3649383,78326.52,12.35924333
9/12/2020 9:00,-0.124046786,4697,-582.6477538,85727.51,12.38994667
9/12/2020 12:00,-0.11622141,6188,-719.1780851,127602.03,12.38161667
9/12/2020 15:00,-0.095887684,6849,-656.7347477,118694.95,12.40953333
9/12/2020 18:00,-0.093192686,6788,-632.5919526,365319.13,12.56368333
9/12/2020 21:00,-0.152611663,5440,-830.2074467,210523.39,12.60368667
