time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume BCH,open BCH
1/25/2019 12:00,-0.19913775,4304,-857.088876,1253.051965,125.9866667
1/25/2019 15:00,-0.103720091,4754,-493.0853126,1427.251585,126.4533333
1/25/2019 18:00,-0.189467292,4487,-850.1397392,869.9090487,125.8366667
1/25/2019 21:00,-0.168223379,3628,-610.314419,699.4129198,126.1066667
1/26/2019 0:00,-0.118459491,2882,-341.4002531,1183.232687,126.27
1/26/2019 3:00,-0.085676265,2404,-205.9657411,419.1512051,126.4533333
1/26/2019 6:00,-0.129621512,2968,-384.7166476,2269.039824,127.0333333
1/26/2019 9:00,-0.149402817,2980,-445.2203947,1225.727191,127.3433333
1/26/2019 12:00,-0.182442499,3480,-634.8998965,686.027869,126.81
1/26/2019 15:00,-0.13310494,4169,-554.9144949,1719.331454,125.9166667
1/26/2019 18:00,-0.155881611,3849,-599.9883207,1391.114968,125.6366667
1/26/2019 21:00,-0.127497009,3054,-389.3758655,714.1244481,125.3733333
1/27/2019 0:00,-0.144285634,2653,-382.789787,1434.905165,125.3066667
1/27/2019 3:00,-0.115767488,2216,-256.5407534,1871.113757,124.7666667
1/27/2019 6:00,-0.101710905,2536,-257.9388551,708.0904561,123.2633333
1/27/2019 9:00,-0.096180133,2888,-277.7682241,2165.821474,121.9433333
1/27/2019 12:00,-0.097778184,3424,-334.792502,3811.31455,121.4133333
1/27/2019 15:00,-0.080669211,3773,-304.3649331,2652.176709,121.66
1/27/2019 18:00,-0.116604757,3438,-400.8871546,927.7788526,122.1666667
1/27/2019 21:00,-0.104467587,2972,-310.4776686,1525.051272,121.7566667
1/28/2019 0:00,-0.103408991,2650,-274.0338262,6355.284197,119.6466667
1/28/2019 3:00,-0.116469765,2850,-331.9388303,13244.79302,114.9833333
1/28/2019 6:00,-0.112176831,3390,-380.2794571,11967.59702,110.8866667
1/28/2019 9:00,-0.13225667,3823,-505.6172494,3461.575059,110.58
1/28/2019 12:00,-0.100489906,4812,-483.5574277,4699.378097,110.5366667
1/28/2019 15:00,-0.156004268,5239,-817.3063601,15178.67502,108.7366667
1/28/2019 18:00,-0.112204587,5075,-569.438279,4193.163078,109.1833333
1/28/2019 21:00,-0.118643959,4017,-476.5927833,3797.23573,109.4033333
1/29/2019 0:00,-0.062775898,3494,-219.3389876,2575.256221,110.2433333
1/29/2019 3:00,-0.08337723,2847,-237.3749738,3254.122743,108.88
1/29/2019 6:00,-0.137616429,3618,-497.8962401,4750.322544,106.9633333
1/29/2019 9:00,-0.127639076,3998,-510.3010258,2894.748902,109.1333333
1/29/2019 12:00,-0.106733622,4704,-502.0749579,4558.58988,109.7166667
1/29/2019 15:00,-0.14209037,5453,-774.8187876,3943.550897,110.7433333
1/29/2019 18:00,-0.123440018,4749,-586.2166455,1310.430513,109.7733333
1/29/2019 21:00,-0.132173701,4256,-562.5312715,2159.042473,109.7033333
1/30/2019 0:00,-0.124145442,3454,-428.7983567,2054.672485,108.5133333
1/30/2019 3:00,-0.123637262,3054,-377.5881981,3044.553415,109.73
1/30/2019 6:00,-0.125140942,3751,-469.4036734,2084.199929,109.8133333
1/30/2019 9:00,-0.119191604,4015,-478.5542901,1313.598695,110.06
1/30/2019 12:00,-0.120287771,4730,-568.9611568,13864.22787,113.89
1/30/2019 15:00,-0.168298532,5662,-952.9062882,4474.262951,116.84
1/30/2019 18:00,-0.149212837,4675,-697.570013,3164.080781,116.5733333
1/30/2019 21:00,-0.146804669,3887,-570.6297484,4293.011635,116.2133333
1/31/2019 0:00,-0.110670526,3560,-393.9870726,5630.623206,118.0833333
1/31/2019 3:00,-0.13272535,3036,-402.9541626,1417.89892,118.2833333
1/31/2019 6:00,-0.127255866,3733,-475.0461478,5490.926596,117.1366667
1/31/2019 9:00,-0.111899559,4292,-480.2729072,2584.257895,113.2633333
1/31/2019 12:00,-0.06469051,4966,-321.2530727,2437.280614,113.57
1/31/2019 15:00,-0.094679729,5621,-532.1947567,1955.865629,112.8333333
1/31/2019 18:00,-0.08697628,5181,-450.6241067,2948.407199,113.0766667
1/31/2019 21:00,-0.129421054,4318,-558.8401112,3086.646593,113.8
2/1/2019 0:00,-0.166609287,3363,-560.3070322,5600.046882,112.3633333
2/1/2019 3:00,-0.140731251,2843,-400.0989466,2434.076314,110.8233333
2/1/2019 6:00,-0.171624838,3448,-591.7624414,2309.844236,110.8733333
2/1/2019 9:00,-0.222672112,4036,-898.704644,4158.585386,111.7966667
2/1/2019 12:00,-0.151736493,4901,-743.6605522,3602.566192,115.1233333
2/1/2019 15:00,-0.132888923,5022,-667.3681713,2890.243057,114.6833333
