time,sentiment_score,Tweet Volume,Weighted Sentiment,Volume XLM,open XLM
3/22/2019 21:00,-0.107826197,3615,-389.7917022,1988902,0.108787333
3/23/2019 0:00,-0.104968735,3126,-328.1322656,2605940,0.108010333
3/23/2019 3:00,-0.149826027,2592,-388.349062,3064515,0.108841
3/23/2019 6:00,-0.109837882,2951,-324.1315898,1749765,0.107295667
3/23/2019 9:00,-0.104409794,3026,-315.9440366,683779,0.106752667
3/23/2019 12:00,-0.141755708,3843,-544.7671858,1048148,0.106245
3/23/2019 15:00,-0.170372958,4317,-735.5000597,927204,0.106225667
3/23/2019 18:00,-0.155321221,3683,-572.0480569,1113743,0.106696333
3/23/2019 21:00,-0.153579678,3002,-461.0461934,1467344,0.106779333
3/24/2019 0:00,-0.157996841,2483,-392.3061562,705613,0.106251333
3/24/2019 3:00,-0.105426582,2276,-239.9509006,1556304,0.105555667
3/24/2019 6:00,-0.134202924,2626,-352.4168784,485192,0.105166667
3/24/2019 9:00,-0.100487666,2925,-293.9264231,563651,0.104620667
3/24/2019 12:00,-0.167353842,3495,-584.9016778,1659794,0.104663333
3/24/2019 15:00,-0.112327298,3820,-429.0902784,1420844,0.104978667
3/24/2019 18:00,-0.125468406,3716,-466.2405967,1783275,0.104510333
3/24/2019 21:00,-0.177387985,3264,-578.994383,977402,0.103853667
3/25/2019 0:00,-0.206581381,2731,-564.1737515,1461245,0.103714667
3/25/2019 3:00,-0.129231653,2464,-318.426793,2285907,0.103228333
3/25/2019 6:00,-0.189680333,3082,-584.5947863,1151488,0.102410333
3/25/2019 9:00,-0.178014492,3776,-672.1827218,426281,0.103104667
3/25/2019 12:00,-0.117658922,4988,-586.8827029,1127196,0.102232
3/25/2019 15:00,-0.166202887,5077,-843.8120573,1735674,0.101558
3/25/2019 18:00,-0.223114507,4929,-1099.731405,2974818,0.100193667
3/25/2019 21:00,-0.196028326,4225,-828.2196774,1401446,0.100157667
3/26/2019 0:00,-0.199440164,3247,-647.5822125,1453518,0.099918333
3/26/2019 3:00,-0.170563898,2857,-487.3010566,1002477,0.100181333
3/26/2019 6:00,-0.157382136,3511,-552.5686795,945867,0.099400333
3/26/2019 9:00,-0.189209215,4192,-793.1650293,612545,0.099062333
3/26/2019 12:00,-0.146624836,5176,-758.9301511,2709388,0.098226333
3/26/2019 15:00,-0.107417843,5059,-543.4268677,1623071,0.098719
3/26/2019 18:00,-0.146694006,4259,-624.7697716,2425090,0.102173333
3/26/2019 21:00,-0.146754949,3715,-545.1946355,1293432,0.102093
3/27/2019 0:00,-0.175138047,3467,-607.2036089,2687498,0.103362
3/27/2019 3:00,-0.182987507,2827,-517.3056823,1925911,0.105333333
3/27/2019 6:00,-0.151231003,3449,-521.5957293,818495,0.10533
3/27/2019 9:00,-0.182835718,4467,-816.7271523,925305,0.104996667
3/27/2019 12:00,-0.170986941,5192,-887.7641977,2208589,0.105691667
3/27/2019 15:00,-0.158466915,5069,-803.2687921,1827590,0.105972667
3/27/2019 18:00,-0.114886085,4313,-495.5036846,1913301,0.106439333
3/27/2019 21:00,-0.142784274,3914,-558.8576484,2427257,0.106863333
3/28/2019 0:00,-0.166759177,3353,-559.1435205,1294537,0.107076667
3/28/2019 3:00,-0.161156439,2687,-433.0273516,1009331,0.106688667
3/28/2019 6:00,-0.124480759,3420,-425.7241958,1547846,0.106135667
3/28/2019 9:00,-0.169524446,4004,-678.7758818,824094,0.104082
3/28/2019 12:00,-0.130239225,4989,-649.7634935,1148421,0.104193
3/28/2019 15:00,-0.140340632,5428,-761.7689505,1524052,0.105477333
3/28/2019 18:00,-0.140418288,4638,-651.2600197,1745448,0.105534
3/28/2019 21:00,-0.122969548,3957,-486.5905014,1270655,0.105829
3/29/2019 0:00,-0.151453862,3363,-509.3393379,2113926,0.106391
3/29/2019 3:00,-0.159394491,2875,-458.2591616,1237868,0.106347333
3/29/2019 6:00,-0.163237651,3597,-587.1658306,416640,0.105844
3/29/2019 9:00,-0.211701829,4250,-899.7327733,961623,0.106639333
3/29/2019 12:00,-0.149078913,5251,-782.8133722,1783956,0.106508333
3/29/2019 15:00,-0.14657059,5144,-753.959115,2115611,0.106473667
3/29/2019 18:00,-0.159238222,4786,-762.1141305,1578577,0.107364667
3/29/2019 21:00,-0.123943054,3964,-491.3102661,1612147,0.107749
3/30/2019 0:00,-0.137774096,3619,-498.6044534,1183981,0.107188667
3/30/2019 3:00,-0.145706241,2887,-420.6539178,1696325,0.105963333
3/30/2019 6:00,-0.139619965,2998,-418.5806551,509628,0.106323333
